Model,Train R²,Test R²,Train MAE,Test MAE,Train RMSE,Test RMSE,CV R² Mean,CV R² Std
RandomForest,0.999026478138624,0.9975952586245218,0.3531257019123541,0.6189047607020803,1.3135680771447282,2.1419536841907933,0.9968419863569433,0.000550977584458454
XGBoost,0.9994458556175232,0.9982971549034119,0.6936830282211304,0.8888196349143982,0.9910438735057379,1.8024593321171374,0.9982117772102356,0.00017608958392104418
LightGBM,0.9987906810408425,0.9981962996357047,0.9139978391251776,1.022469531630951,1.4640306268911247,1.8550605269955116,0.9977035334059255,0.0008449369765851579
CatBoost,0.997063235512985,0.9967815984616671,1.5905325293497474,1.6764014438550956,2.2814675243595204,2.477969755978101,0.9958362600440942,0.0005339885561707302
