Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,CO2 emissions (g/km),CO2 rating,Smog rating,fuel_efficiency_score,engine_displacement_per_cylinder,estimated_weight,power_to_weight_ratio,city_highway_diff,engine_efficiency,cylinder_efficiency
2017,Chrysler,300 AWD,Full-size,3.6,6,A8,X,258,4.0,6.0,9.090909090909092,0.6,1296.0,0.002777777777777778,4.100000000000001,71.66666666666667,43.0
2017,Chrysler,300 AWD FFV,Full-size,3.6,6,A8,X,258,4.0,6.0,9.090909090909092,0.6,1296.0,0.002777777777777778,4.100000000000001,71.66666666666667,43.0
2017,Chrysler,300 AWD FFV,Full-size,3.6,6,A8,E,248,5.0,6.0,6.666666666666667,0.6,1296.0,0.002777777777777778,5.600000000000001,68.88888888888889,41.333333333333336
2017,Chrysler,Pacifica,Minivan,3.6,6,A9,X,257,5.0,6.0,9.174311926605505,0.6,1404.0,0.002564102564102564,4.5,71.38888888888889,42.833333333333336
2017,Chrysler,Pacifica (Stop-Start),Minivan,3.6,6,A9,X,249,5.0,6.0,9.433962264150944,0.6,1404.0,0.002564102564102564,4.0,69.16666666666667,41.5
2017,Dodge,Challenger,Mid-size,3.6,6,A8,X,242,5.0,6.0,9.70873786407767,0.6,1080.0,0.0033333333333333335,4.6000000000000005,67.22222222222221,40.333333333333336
2017,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,289,4.0,6.0,8.130081300813007,0.7125,1710.0,0.0033333333333333335,5.299999999999999,50.70175438596491,36.125
2017,Dodge,Challenger,Mid-size,5.7,8,M6,Z,307,3.0,5.0,7.633587786259542,0.7125,1710.0,0.0033333333333333335,5.5,53.859649122807014,38.375
2017,Dodge,Challenger GT,Mid-size,3.6,6,A8,X,258,4.0,6.0,9.090909090909092,0.6,1080.0,0.0033333333333333335,4.100000000000001,71.66666666666667,43.0
2017,Dodge,Charger,Full-size,3.6,6,A5,X,271,4.0,6.0,8.620689655172415,0.6,1296.0,0.002777777777777778,4.699999999999999,75.27777777777777,45.166666666666664
2017,Dodge,Charger,Full-size,3.6,6,A8,X,242,5.0,6.0,9.70873786407767,0.6,1296.0,0.002777777777777778,4.6000000000000005,67.22222222222221,40.333333333333336
2017,Dodge,Charger (MDS),Full-size,5.7,8,A5,X,302,3.0,6.0,7.751937984496124,0.7125,2052.0,0.002777777777777778,5.9,52.98245614035088,37.75
2017,Dodge,Charger (MDS),Full-size,5.7,8,A8,X,289,4.0,6.0,8.130081300813007,0.7125,2052.0,0.002777777777777778,5.299999999999999,50.70175438596491,36.125
2017,Dodge,Charger AWD,Full-size,3.6,6,A8,X,258,4.0,6.0,9.090909090909092,0.6,1296.0,0.002777777777777778,4.100000000000001,71.66666666666667,43.0
