Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2017,BMW,320i xDrive,Compact,2.0,4,AS8,Z,10.3,6.9,8.8,32,206,6.0,6.0
2017,BMW,330i xDrive,Compact,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,6.0,8.0
2017,BMW,330i xDrive Gran Turismo,Full-size,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,6.0,8.0
2017,BMW,330i xDrive Touring,Station wagon: Small,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,6.0,8.0
2017,BMW,340i,Compact,3.0,6,AS8,Z,11.1,7.8,9.6,29,224,5.0,6.0
2017,BMW,340i,Compact,3.0,6,M6,Z,12.2,8.2,10.4,27,242,5.0,6.0
2017,BMW,340i xDrive,Compact,3.0,6,AS8,Z,11.4,7.8,9.8,29,228,5.0,6.0
2017,BMW,340i xDrive,Compact,3.0,6,M6,Z,12.2,8.5,10.5,27,246,5.0,6.0
2017,BMW,340i xDrive Gran Turismo,Full-size,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,5.0,6.0
2017,BMW,430i xDrive Cabriolet,Subcompact,2.0,4,AS8,Z,10.6,7.3,9.1,31,211,6.0,8.0
2017,BMW,430i xDrive Coupe,Compact,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,6.0,8.0
2017,BMW,430i xDrive Gran Coupe,Compact,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,6.0,8.0
2017,BMW,440i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,5.0,6.0
2017,BMW,440i Coupe,Compact,3.0,6,AS8,Z,11.1,7.8,9.6,29,224,5.0,6.0
2017,BMW,440i Coupe,Compact,3.0,6,M6,Z,12.2,8.2,10.4,27,242,5.0,6.0
2017,BMW,440i xDrive Coupe,Compact,3.0,6,AS8,Z,11.4,7.8,9.8,29,228,5.0,6.0
2017,BMW,440i xDrive Coupe,Compact,3.0,6,M6,Z,12.2,8.5,10.5,27,246,5.0,6.0
2017,BMW,440i xDrive Gran Coupe,Compact,3.0,6,AS8,Z,11.4,7.8,9.8,29,228,5.0,6.0
2017,BMW,530i xDrive,Mid-size,2.0,4,AS8,Z,10.5,7.4,9.1,31,213,6.0,8.0
2017,BMW,540i xDrive,Mid-size,3.0,6,AS8,Z,11.4,7.8,9.8,29,228,5.0,7.0
2017,BMW,640i xDrive Cabriolet,Subcompact,3.0,6,AS8,Z,12.4,8.4,10.6,27,249,5.0,6.0
2017,BMW,640i xDrive Gran Coupe,Compact,3.0,6,AS8,Z,12.4,8.4,10.6,27,249,5.0,6.0
2017,BMW,650i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4.0,6.0
2017,BMW,650i xDrive Coupe,Compact,4.4,8,AS8,Z,13.8,9.1,11.7,24,273,4.0,6.0
2017,BMW,650i xDrive Gran Coupe,Compact,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4.0,6.0
2017,BMW,740Li xDrive,Full-size,3.0,6,AS8,Z,11.9,8.1,10.2,28,238,5.0,6.0
2017,BMW,750i xDrive,Full-size,4.4,8,AS8,Z,13.8,9.1,11.7,24,273,4.0,6.0
2017,BMW,750Li xDrive,Full-size,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4.0,6.0
2017,BMW,Alpina B6 xDrive Gran Coupe,Compact,4.4,8,AS8,Z,14.7,9.7,12.5,23,292,4.0,6.0
