Model,Baseline Test R²,Tuned Test R²,Improvement,Baseline MAE,Tuned MAE,MAE Reduction
XGBoost,0.9982971549034119,0.9987631440162659,0.0004659891128540039,0.8888196349143982,0.7514255046844482,0.13739413022994995
LightGBM,0.9981962996357047,0.9989436398223165,0.0007473401866118223,1.022469531630951,0.6869695060239762,0.33550002560697467
